video_id,title,published_at,duration,views,likes,comments,tags,channel
rLMx0X3SeMI,DO NOT TRY THESE FOOTBALL CHALLENGES AT HOME...,2017-11-28T21:39:52Z,PT18M49S,9280265,139676,4806,"football,challenges,do not,try,household,gone wrong,skills,goals,prank,wroetoshaw,w2s",ChrisMD
klJYCR-6FRw,The ULTIMATE YouTuber Penalty Challenge,2017-11-25T12:41:52Z,PT14M11S,8627008,160650,3918,"penalty,youtuber,wroetoshaw,w2s,miniminter,chrismd,sidemen,calfreezy,tbjzl,tobi,simon,harry,ultimate,miss,challenge,football",ChrisMD
5GBgWKgczGI,Cesc Fàbregas vs. ChrisMD  | ARSENAL v CHELSEA Football Challenge,2017-11-20T16:41:19Z,PT24M12S,7857265,128529,4621,"fabregas,cesc,chrismd,arsenal,chelsea,hero,rival,football,challenges,forfeit,amazing,goals,skills,passing,shooting",ChrisMD
n7JlN-5VjkY,I Perfectly Recreated Cristiano Ronaldo's Free Kick Vs Portsmouth in 2008,2017-11-17T21:48:21Z,PT15M34S,6140584,123284,11614,"ronaldo,cristiano,chrismd,football,free kick,amazing,famous,goal,messi,real madrid,challenge,soccer,Goals,Skills,Cristiano Ronaldo",ChrisMD
K9y9r50R2u4,The 7 Year Old Lionel Messi,2017-11-05T19:31:06Z,PT7M58S,6417361,109258,4107,"7 year old,lionel,messi,6 year old,kid,soccer,football,skills,goals,insane,amazing",ChrisMD
I-Vl7VgzOSE,"WORST DEFEAT OF THE YEAR…in front of 34,000",2017-10-16T20:52:12Z,PT19M37S,5031138,93339,3483,"wembley,cup,defeat,worst,thousand,chrismd,charity match,gerrard,sidemen",ChrisMD
Q2Tm0BRozKw,TERRIFYING Cliff Jump Forfeit in The ChrisMD Test With My Family 2,2017-10-12T20:47:55Z,PT24M27S,4486529,87362,3741,"cliff,jump,terrifying,scary,insane,chrismd,forfeit,ollie,kelly,sister,family",ChrisMD
egoM2I_e05o,My Best Miss Ever...,2017-10-10T19:47:48Z,PT3M36S,1135296,52318,2323,"football,chrismd,book,sunday,league,miss,best,ever",ChrisMD
htAqXYmFKgo,Cristiano Ronaldo Reacts To My Football Videos,2017-09-21T20:29:22Z,PT7M33S,22177362,652968,18957,"cristiano,ronaldo,messi,best,player,in the world,ever,football,reacts,to",ChrisMD
q9w3knEp7Nw,Jersey V Guernsey 2 | The EPIC Football Rematch ft. W2S,2017-08-31T19:56:25Z,PT22M4S,14175077,215908,7954,"w2s,football,sidemen,chrismd,jersey v guernsey,rematch,challenges,epic",ChrisMD
